state_code,year,month,notification_rate
SP,2023,1,28.7629901242564
SP,2023,2,74.4428696178206
SP,2023,3,185.3067009751
SP,2023,4,211.725689790499
SP,2023,5,139.779935880193
SP,2023,6,35.0249186928768
SP,2023,7,9.61468356275049
SP,2023,8,6.49385184893968
SP,2023,9,5.69900798532119
SP,2023,10,7.31571590055652
SP,2023,11,10.4320442497009
SP,2023,12,21.3887304830368
SP,2024,1,110.08925263466
SP,2024,2,375.137031757593
SP,2024,3,947.478653938897
SP,2024,4,1383.12964840115
SP,2024,5,1282.39613586093
SP,2024,6,414.809422786188
SP,2024,7,121.818265908282
SP,2024,8,49.9625792913046
SP,2024,9,31.7374624864094
SP,2024,10,29.5443238938757
SP,2024,11,34.6578944725657
SP,2024,12,70.6285197453852
SP,2025,1,250.490652838815
SP,2025,2,355.457328165452
SP,2025,3,519.501392868175
SP,2025,4,405.8026934534
SP,2025,5,233.389125518185
SP,2025,6,68.3340554478576
SP,2025,7,18.5853859782067
SP,2025,8,0.141855986991401
PR,2023,1,16.2612566167848
PR,2023,2,61.7857848131572
PR,2023,3,297.237596095201
PR,2023,4,454.02197410432
PR,2023,5,388.714810238737
PR,2023,6,97.9607457983744
PR,2023,7,30.871047623375
PR,2023,8,15.203969109729
PR,2023,9,9.66413208928749
PR,2023,10,13.6311447190674
PR,2023,11,27.2710273514162
PR,2023,12,70.5062222680477
PR,2024,1,304.166761327394
PR,2024,2,658.646427329397
PR,2024,3,1334.0609102459
PR,2024,4,1601.59833909744
PR,2024,5,1131.3325842029
PR,2024,6,276.60738283769
PR,2024,7,66.4081409390461
PR,2024,8,25.2263556435561
PR,2024,9,12.6262846917002
PR,2024,10,11.5427834448
PR,2024,11,14.8719284050337
PR,2024,12,17.3797095168109
PR,2025,1,50.1643601488241
PR,2025,2,106.855941518894
PR,2025,3,230.514890278023
PR,2025,4,220.693475749669
PR,2025,5,126.638577188105
PR,2025,6,29.1496787069286
PR,2025,7,4.71847317198485
PR,2025,8,0.0349516531258137
MS,2023,1,84.4392101161656
MS,2023,2,201.667529315241
MS,2023,3,392.743886227595
MS,2023,4,398.148285844136
MS,2023,5,273.303027588191
MS,2023,6,86.5066650030305
MS,2023,7,35.6182578754616
MS,2023,8,14.2182862394918
MS,2023,9,6.16609352222859
MS,2023,10,7.07287198137985
MS,2023,11,6.56507604425514
MS,2023,12,7.3267699499422
MS,2024,1,45.266380680831
MS,2024,2,90.8229304685905
MS,2024,3,139.716424986027
MS,2024,4,145.1933668793
MS,2024,5,110.735785431552
MS,2024,6,34.4213103093819
MS,2024,7,8.16100613236136
MS,2024,8,4.06236749699766
MS,2024,9,2.68406423908774
MS,2024,10,2.82914879255194
MS,2024,11,4.49762115739026
MS,2024,12,6.74643173608539
MS,2025,1,31.1931789948034
MS,2025,2,45.7379054795897
MS,2025,3,67.536859637586
MS,2025,4,62.2412734361427
MS,2025,5,56.764331542869
MS,2025,6,27.6023362965644
MS,2025,7,7.00032970464775
MG,2023,1,56.1490076747363
MG,2023,2,158.442149117022
MG,2023,3,365.798637964217
MG,2023,4,418.90966932845
MG,2023,5,303.680785807626
MG,2023,6,88.6465908039191
MG,2023,7,23.9143263416548
MG,2023,8,12.1226939313356
MG,2023,9,10.3797523942199
MG,2023,10,16.4897848776842
MG,2023,11,40.2337119070512
MG,2023,12,103.885157874233
MG,2024,1,542.200874596379
MG,2024,2,1596.14496385563
MG,2024,3,2149.50942768275
MG,2024,4,1568.09723705305
MG,2024,5,697.556361885101
MG,2024,6,169.776137660054
MG,2024,7,42.8189129020468
MG,2024,8,16.6601841899721
MG,2024,9,14.0262976771799
MG,2024,10,14.6446037531958
MG,2024,11,22.9698272964022
MG,2024,12,30.6377963493554
MG,2025,1,60.0195063395604
MG,2025,2,100.155847211018
MG,2025,3,117.093538852431
MG,2025,4,108.174351992107
MG,2025,5,70.3895216302209
MG,2025,6,21.4751819000487
MG,2025,7,5.90068475693926
MG,2025,8,0.00486855177965285
